Year,Company Size,Industry,Experience,Title,Country,Salary (USD),City
2023,10 to 19 employees,"Information Services, IT, Software Development, or other Technology",5 to 9 years,Data scientist or machine learning specialist,Canada,52046.0,Halifax
2023,100 to 499 employees,"Manufacturing, Transportation, or Supply Chain",10 or more years,"Developer, full-stack",Canada,64686.0,Montreal
2023,20 to 99 employees,"Information Services, IT, Software Development, or other Technology",2 to 4 years,"Developer, full-stack",Canada,59481.0,Hamilton–Niagara Peninsula
2023,20 to 99 employees,"Manufacturing, Transportation, or Supply Chain",5 to 9 years,Data or business analyst,Canada,63199.0,Halifax
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",5 to 9 years,"Developer, front-end",Canada,53533.0,Montreal
2023,500 to 999 employees,"Information Services, IT, Software Development, or other Technology",5 to 9 years,"Engineer, data",Canada,68403.0,Halifax
2023,"1,000 to 4,999 employees",Insurance,5 to 9 years,"Developer, full-stack",Canada,70634.0,Kitchener–Waterloo–Barrie
2023,2 to 9 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, full-stack",Canada,81787.0,Toronto
2023,20 to 99 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, back-end",Canada,81787.0,Toronto
2023,10 to 19 employees,"Information Services, IT, Software Development, or other Technology",5 to 9 years,"Developer, back-end",Canada,79556.0,Hamilton–Niagara Peninsula
2023,500 to 999 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, back-end",Canada,102605.0,Hamilton–Niagara Peninsula
2023,"5,000 to 9,999 employees","Information Services, IT, Software Development, or other Technology",10 or more years,Data or business analyst,Canada,66916.0,Halifax
2023,"10,000 or more employees","Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, back-end",Canada,96657.0,Hamilton–Niagara Peninsula
2023,2 to 9 employees,"Information Services, IT, Software Development, or other Technology",5 to 9 years,"Developer, full-stack",Canada,78069.0,Hamilton–Niagara Peninsula
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, game or graphics",Canada,96657.0,Vancouver Island and Coast
2023,20 to 99 employees,"Manufacturing, Transportation, or Supply Chain",5 to 9 years,"Developer, desktop or enterprise applications",Canada,72864.0,Kitchener–Waterloo–Barrie
2023,500 to 999 employees,"Information Services, IT, Software Development, or other Technology",5 to 9 years,DevOps specialist,Canada,75467.0,Moncton–Richibucto
2023,"1,000 to 4,999 employees","Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, back-end",Canada,96657.0,Hamilton–Niagara Peninsula
2023,100 to 499 employees,Advertising Services,5 to 9 years,"Developer, full-stack",Canada,85504.0,Calgary
2023,20 to 99 employees,Wholesale,10 or more years,"Developer, full-stack",Canada,100374.0,Hamilton–Niagara Peninsula
2023,20 to 99 employees,"Information Services, IT, Software Development, or other Technology",0 to 1 years,"Developer, full-stack",Canada,47585.0,Hamilton–Niagara Peninsula
2023,"10,000 or more employees",Healthcare,10 or more years,"Developer, full-stack",Canada,89222.0,Toronto
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",5 to 9 years,"Developer, full-stack",Canada,48328.0,Montreal
2023,10 to 19 employees,Oil & Gas,10 or more years,"Developer, full-stack",Canada,92939.0,Toronto
2023,10 to 19 employees,Healthcare,10 or more years,"Developer, back-end",Canada,89222.0,Toronto
2023,20 to 99 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, full-stack",Canada,95170.0,Toronto
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",10 or more years,"Developer, back-end",Canada,92939.0,Toronto
2023,100 to 499 employees,"Information Services, IT, Software Development, or other Technology",5 to 9 years,"Developer, full-stack",Canada,83274.0,Hamilton–Niagara Peninsula
